category,Title,Author,ReviewID,Overall,Content,Date,polarity
cameras,"Handles Great, Autofocus just not there","C. Moore ""The Authorguy""",R2V2ILU2VF2BUH,3,"First, a couple of things.I wanted this camera to be great. I researched all the consumer dSLRs and decided on the XT Rebel 350 because of it's size and 8MP CCD, plus, I'd had two Canon point and shoot digitals that were fantastic.I've been taking pictures on a semi-professtional level for thirty years and I attended Brooks Institute of Photography, so I sort of know what I'm doing.Bought the Rebel XT at a local store in San Francisco, along with the Canon 28-200 Zoom. Immediately went up to Chinatown to shoot pictures of the Festival of the Harvest Moon with my wife, who was using her Nikon D70 with the Nikon 28-200.Shot pictures all day, and absolutely loved the way the XT handled. It was very intuitive, fast, had a bright viewfinder -- I couldn't have been happier.Then, we got home and looked at the pictures. I'd shot mostly on automatic, or shutter priority all day, with shutter speeds above 250th of a second.Bottom line, my wife's pictures were crystal clear, popped really, and mine of the same or similar subjects were just a tad fuzzy. You couldn't tell at 5x7 or so, but when you brought it up to 8x10 or above the difference was obvious. I checked the historgram on the shots, and they were made at nearly the same settings. Couldn't be, right? After all, the Nikon is only 6 MP, the Canon 8MP.So I put both cameras on a tripod, pointed them at a brick wall with a sign about 100 feet away, set everything the same on the cameras, and low and behold, same fuzziness.I took the Canon back the next day and traded it in on a D70. Now, maybe I got a bad lense, or a camera where the auto-focus was tweaked, but I couldn't afford the time to test it out again and again. I knew the Nikon would work, and it did (and does).Since then, I've talked to friends, professionals, who say that the XT is known to have auto-focus ""issues"". This seems to be inconsistent, with some reviewers being delighted by the camera, others having a little problem.As I said above, the camera handles really well, intuitively, and I actually like the compact size (some SLR users like a heavier camera). I may have gotten a lemon, but if you are going to need to depend on getting sharp pictures and can't go back for reshoots, I'd step up to the Canon D20 or go with a Nikon dSLR.","January 18, 2006",0
cameras,"Too small, and too little","LightnnRod ""LightnnRod""",R3ICN5W59DWFKD,3,"We were using a Digital Rebel 6.3MP and an old Sony 5.0 MP 7X optical when the Sony got wet and began working intermittently. Time to replace the Sony and move up a notch! Having been well-impressed with the Rebel 6.3 and the two lenses we'd added (EF 55-200 4.5-5.6 USM and the superb EF 700-200 2.8 with Canon's 2X extender bought used), we decided to jump on the Digital Rebel XT with the 18-55 lens.It arrived Thursday, and we sent it back Monday. Here's why. It was too small. Smaller is usually better, but the XT started to feel and look like a toy camera, or at least a point-and-shoot. My wife and I both have smallish hands, and the XT was bordering on being too small to be ergonomic for us. With the 70-200 lens attached, the Rebel XT disappeared.The second why is features. This is not a knock on the XT, which is a fine (excellent, really) camera with significant improvements over the original Digital Rebel. When we sent the XT back, we got Canon's 20D. Aha! you say. The XT and the 20D are basically the same camera. Not completely, and here's Canon's language comparing the two:""There are, of course, some very real differences between the EOS Digital Rebel XT digital camera and the more advanced EOS 20D. While the 20D SLR includes performance features such as faster continuous shooting speed (5 frames per second [fps] vs. 3 fps) with larger burst capability (23 frames vs. 14 frames) and custom function settings (18 vs. 9) that more than justify its heftier price tag, this new Rebel XT model was created for those dedicated SLR users who are migrating to digital for the first time and don't wish to give up the flexibility an SLR system offers.""After using the Digital Rebel and three lenses (plus extender) we evolved from point-and-shoot to serious amateurs, and now we're knocking on the door of ""prosumer."" The 20D puts us there. It also uses the same batteries as the Digital Rebel, which is a plus. Like the Digital Rebel, the 20D is the size of a traditional SLR and easier to handle than the XT, even if it weighs a bit more.This is not a rip on the XT, but a word to the wise for folks like us who feel ready to move to the next level. We took some fine photos with the XT, which we aren't discarding just because we sent back the XT.A final note: If you get the XT (and that is not a bad thing), get the body only and a lens other than the 18-55 that comes standard in the Digital Rebel and XT kits. Again, this is a fine lens with good, middle-of-the-road capability. But if you're getting serious, you need all the lens you can afford, or even a little more than you can afford. The Canon EF-S 17-85 4.5-5.6 gives a lot of range and versatility and would be great with an XT if you're trying for really good photos while keeping life simple and your camera-lens package light. Even better is the EF-S 10-22 3.5-4.5. But the prize of our collection is the EF 24-70 2.8. It provides superb performance. Yes, the cheapest of those is about the price of an XT body. You get what you pay for. We were lucky enough to have fallen into a little cash and put it into a 20D and a great lens (24-70), a really good lens (10-22), and a relatively compact versatile lens that performs well in good light (17-85).If you're sitting on the fence as to your photographic future, I hope this helps.","July 9, 2005",0
cameras,"Call me vain, but...",TUFFER,R3JYXN5YJTPPDG,3,"I initially bought this camera because of it's ""ease of use"", and the compact travel size afforded for an SLR. But after a trip to NYC I completely changed my mind and upgraded to the 20D. First was the size: This camera is an ergonomic catastrophy. I did love its light weight feel while slung around my neck, but if you put any other lense on this camera, you will soon find that it will completely off-balance the camera itself and make for an abnormal feel. The case is just too small for me for an SLR. I also couldn't stand the cheap feel of the casing. Hold it next to a 20D and you'll see what I mean. For anyone getting into digital SLR photography I would recommend paying the extra $500 for the model above the XT...20D. Its just as easy to use as the XT, but with MUCH MORE POTENTIAL! Why buy a camera with limited capabilities, even if you are a beginner? By the way, we all know its the LENSE that takes the picture, the camera just processes the information. You will never be sorry buying good L line lenses over the cheap stuff with so-so reviews. I used the 17-40mm L with the XT and it took unbelievable pictures, no question. I'm for sure keeping the lense.In summary; the camera has good but limited features, and with the L lense took amazing pictures, but the petite size and cheap feel didn't work for me.","August 30, 2005",0
cameras,"Ok starter camera, not OK repair costs",Z. Curtiss,R2JBOPZ2IZST8E,3,"Up to this point in my ownership of the camera---two years---I have been quite happy with this camera as a camera to get into photography with. I have pulled quite a few shots I have been extremely impressed with. However, I was recently performing some lens sharpness testing, and in the middle of it, my mirror lock-up feature stopped working: it would not record an image at all while that custom function was enabled. I called Canon's technical support number, and the guy on their end was very friendly and we tried resetting the camera to its default settings and custom functions. When this failed to work, he gave me the address to return it for repairs, not really mentioning that because I was out of warranty that this wouldn't be a cheap expenditure. I'm sure he couldn't really speculate as to how much since he didn't know the problem, but a heads up of the possibility would have been nice. Instead, I got an email notification of the repairs estimate, and it was $210!!!!! Not too much shy of what a person might buy a used or rebuilt camera for on here. For $50, a person can get an extended warranty from Canon for an additional 4 years. I think that would be well worth it, since you know you will pay significantly more than that in repair costs if and when your camera goes south. Something to think seriously about, because it is an electronic item, and the standard warranty of a year doesn't get you very far. I would have to say that I think Canon's repair charges are a bit steep though given the total worth of such a camera. I can't say that I'll take my shopping to another brand's camera lineup though, because I do like Canon's products, but I was just disappointed this time that they couldn't get that function back up and running for considerably less.","April 5, 2009",0
cameras,Sad story about Canon Digital Rebel XT fill-in flash failure,Marie-Christine de Montreal,R1649V29MA0J30,3,"I bought a Digital Rebel XT last april 2005 after taking a lot of information on this camera on internet websites and with retail stores. I chose up this Canon product for two major reasons, first Nikon D70 was not available at that time and second Digital Rebel XT + lense EF-S17-85mm IS USM seemed to be better and affordable choice. But 2 months and 24 days of use later, I feel very disappointed. When I tried to take pictures of my daughter receiving honors at her ""gala meritas"", the fill-in flash with loud clickety-clack noises refused stubbornly to pop up. It was impossible to take any pictures with flash even after the camera was shut off and reopened again. Each time an error message was appearing up in the viewfinder, blocking completely the use of the camera. And this is not the end of this sad story because Montreal Canon customer service is very slow to handle up my request of service, at least 4 weeks. And don't try to ask questions to a Canon technician. Only the retailer is able to get a few information and answer you to wait because you don't buy at least a $5000 camera to have the right to get faster service. Really, really frustrating buying experience...","June 30, 2005",0
cameras,Follow up to Quality Control Issues,"Paul Mcclain ""PM""",RCWO96ZXNHO97,3,"This is a follow up to the previous review:Amazon was very prompt in replacing the camera. The new camera has performed beautifully with no hint of any problems. All things considered I would now rate this a 5 star, though I can't help but be nervous.The brand new Rebel XT I received had a faulty flash button and flash function right out of the box. When lighting levels are low the camera pops up the flash automatically, however with this one several malfunctions occured simultaneously:*the flash popped up, but did not fire*the camera made a weird rapidfire clicking sound like keys being quickly pressed on an old-fashioned typewriter*the camera would ""seize"" or lock-up, the only recourse being to cycle the power off and on manually*the only item then displayed on the LCD was a low battery warning (even though the battery was fully charged. This indicator would revert to charged status after cycling the power.)*lastly, of course, no image would be stored.I will say Amazon was exceptionally prompt in issuing a replacement order.I've owned a Canon A-1 for 23 years and it's seen a lot of use. I get the feeling this one probably won't be around that long.","August 2, 2007",0
cameras,2nd best,Pamela,RQP2R6M42LDKT,3,Short and sweet.. Spend the extra money for the XTi. I returned this camera and bought one. The XTi outshines this unit for about $100 more.,"October 3, 2007",0
cameras,Major drawback in LCD screen,A. Villanueva,R33Z8C0DVJ0VJ2,3,"I was so excited to get this as my first SLR camera, it was very affordable and had so many features... however, I didn't realize that you could not use the LCD screen as a viewfinder. You have to look through the tiny viewfinder to see your picture before you take it. Then you can view the pictures taken via the LCD screen. Major drawback for me. I will be returning it and buying a different camera that allows for LCD viewfinder usage.","September 20, 2007",0
cameras,"Great Specs, but too small",Stephen Becker,RWQTAUP23BP8Z,3,"This is a really nice Digital SLR, but if you are upgrading from the original Digital Rebel be warned that this is a MUCH smaller body. It does not have the same high quality feel as the first and it is actually pretty hard to use if you have large hands. To me it is almost worth paying the $450 more for the 20d just to get the larger body.","November 17, 2005",0
cameras,Disappointed,"Mauro S. A. Anna ""MSAS""",RM2IMQ9B07WXL,3,"I am a long time found of Canon cameras since my F1 SLR twenty years ago.This is the fourth digital camera by Canon that I buy. My first one was an A20, then an A70 and Rebel XT SLR. I bought the S2IS for informal situations where I didn't want to carry the SLR and its accessories but still wanted to take decent pictures. The movie mode was great too, so I didn't need to carry my camcorder.Of course it's no Rebel XT, but this camera compares poorly in terms of image quality even with the A20 and A70. Actually, the A20 took the best pictures of all the Powershots I owned.On paper it's a very good camera, but I cannot say I am satisfied, even after some six months using it. Here are the problems:* The image has a lot of noise, especially in light colored shaded areas, EVEN IN DAYLIGHT! Reviewing my old pictures taken with the A20 and the A70, I can assure that none of them showed the problem.* I see a lot of chromatic aberration at maximum zoom, even halfway from the center to the border of the picture. One can say ""what would you expect for the price""? But what good is a 12X zoom if you take crappy pictures then? BTW, neither the A20 nor the A70 showed the same level of chromatic aberration at their's (3X) maximum zoom.* It complains that the batteries are low much too early. Not only did the batteries lasted way more on the A20 ad A70 using both Ni-MH and alkalines, the recharging takes 20 minutes instead of the regular one hour, showing that the batteries still have juice. Same for the alkalines: ""expended"" batteries from this camera last a lot in other equipment.* The movie format is not very compressed due to the codec used, so the movie mode takes a lot of room in the card, much more that it should had they used something like MPEG2.* The lens cap is really horrible (see other reviews).The camera works, the stabilization is nice, the movie mode works well for small clips, though focus can be slow sometimes. If you are not very particular about image quality you might live with the other shortcomings.A further tip: I use both high-speed and ""regular"" memory cards. Even with the slow cards, you can get clips up to 45 seconds because the camera has an internal buffer. It even shows how full the buffer is so you are not interrupted abruptly.","April 24, 2006",0
