category,Title,Author,ReviewID,Overall,Content,Date,polarity
cameras,Good; not great; flawed; expensive,"db ""db""",R136F5JUHX7TPI,3,"My son dropped my Canon SD1100is, a great camera that I loved, so I bought SD780is as a replacement, and was ultimately disappointed and returned the camera. Both cameras are a very convenient size and they use the same battery. Problems I encountered with the SD780is are (1) that the door/piece/cover that covers where the battery and SD card are inserted was loose. It shifted/wiggled/moved every time I took a picture, just a little bit but enough to be annoying and unacceptable in an almost-$300 point-and-shoot camera. It just felt cheap and wrong given the price that I paid and given that other cameras don't do this. At first I planned to exchange the camera, but then I found that the cover wiggled on the 2nd SD780is that I looked at too, so I got a refund. (2) Second, the HD video was a primary reason that I bought the SD780is instead of SD1200is, but when I viewed the HD video on my computers it consistently had a line/defect/artifact? through the video-not good. (3) Third, at one point the 780 camera screen didn't seem to turn on and function when I hit the power button, though later at the store it did turn on for the salesperson, so I'm not sure how to explain this unusual event. (4) Fourth, still picture lighting and flashing was inconsistent, producing some disappointing photos in normal-usage situations. (5) Lastly, shutter lag is a problem; there's often what feels like a half-second delay between the time that you push the button and when the picture is taken; this is a problem with a lot of point and shoots but is quite annoying even if lots of cameras have a similar flaw. Overall, this might be an okay camera but I would also consider alternatives, especially considering the price. I expected the newer, more expensive, SD780is to perform better than my older, cheaper SD1100is, but it did not deliver as I hoped and expected it would.","July 8, 2009",
cameras,Fine if you want a small camera,sa,R2NBRYPPZQAMW6,3,"I purchased this camera for my wife in April '09 so that it would be easier to keep in her purse when needed. It is indeed small and easy to carry around. This is our third Canon Powershot camera. I must say that the first one we owned took better indoor, zoomed pictures. This camera is awful when zoomed to the optical limit of 3x. (indoors) Outside the shots are fine. The HD video is impressive for a small camera. I just can't get over the BLURRRRRR every time a shot is taken indoors. Hmmmmm, I thought his had that new feature called Motion Detection Technology. If only I could get back my Canon 2MP camera. Oh well!","August 8, 2009",
cameras,Should've just rebought my old camera,popcornkid,RULPWDR83O9AO,3,"Had a Canon Powershot 1200IS. It broke. Got this one, thinking it'd be the same, just higher res. pictures. I was wrong. Seems like it's lacking image stabilizing which was in the 1200. Shots only come out clear if it's on auto. in the program mode, hands must be stiller than a surgeons and still might come out blurry. Very frustrating. Stick with the 1200. I regret this purchase.","August 23, 2010",
cameras,"Poor low light/Indoor, small size, but not for primary use",Muruks,RHVTCSHOLBAG0,3,"I purchased this camera from Amazon for my brother. I made this choice against several Panasonic and Sony point & shoot cameras after seeing the large number of positive user reviews this model received in Amazon. I currently own a Nikon DSLR(D40) with couple of additional lens. And hence I would be comparing this model with my DSLR for picture quality.I got the silver colour as the black did not seem impressive in the Amazon online product gallery (but i later saw a review from one of the user that black is indeed beautiful). After I opened the box and got the camera to the hand, the feeling was really great!, it felt very tiny and light weight, but I quickly became curious to know how is thing camera going to perform in picture quality - the main purpose we buy a camera for. I put in a 2 GB card quickly and started taking few pictures inside the room. The pictures came out grainy, even with flash - which was disappointing. The quality of pictures were not near the entry level DSLR or even bigger cousins (Powershot, 200$ and above models) from Canon. The reason could be smaller size of lens and sensor in this camera. The lack of manual mode or wide angle would not bother me as long as a camera can take really good photos at normal zoom (group of people, face, building etc) which is where we use P&S; cameras 90% of the time. For me good picture quality in all modes (outdoor/indoor/night) stands as the primary reason for choosing a camera. While this camera can be great as a light weight travel camera for casual photography - I would suggest to go with a slightly higher end (with bigger aperture lens) model from Canon or Panasonic (Canon SX120IS around 200$ or Canon S90), you dont need fancier ones) . Or else you would be disappointed when you see the results from other bigger ones.","April 20, 2010",
cameras,NOT THAT GREAT!,Wolfee1,R2OOU6LJ6JSWE7,3,"I bought this Camera because of it's size, and the wonderful Reviews, it is so small, it fits anywhere, my sister liked it so much I got one for her Birthday as well, hers is Deep Red, mine in Silver color, after we had the Cameras for a while and I am always taking pictures , we noticed that the shutter speed is too slow, I have to wait for the Camera to do it's thing before I take the next Picture and many times the object is gone, the automatic flash is not reliable enough, a lot of the pictures are too dark or out of focus, my sister doesn't want to use it anymore, and I feel the same way. We have this Camera for a year now, and looking for a better one preferably a Sony Cyber-Shot like I used to own, I thought it was the best, till I dropped it and broke! We are disappointed, this was our first Canon....yeah, you guessed it, next Camera will be a different Brand, that's for Sure!","May 23, 2011",
cameras,broke soon,farnaz,R226Z9WN9KA7JH,3,The lens broke after a few months. I had to spend $150 to repair the lens. I;m not that happy with the images. They are too bright although I have tried to change the settings to improve it. My husbands iphone takes much better pictures.,"October 26, 2010",
cameras,Seems a bit flimsy compared with my previous model,Tenderfoot,RTTUDGP2SFJUI,3,"The picture quality is quite good with this camera and viewable image is larger but the way its put together seems cheaper and control features are more recessed. Thus, though I don't have large fingers, operating the camera feels a bit clumsy. I'll keep it however.","February 7, 2010",
cameras,Extremely cute and usable pocket cam with very low IQ,Luving it,R90L1WHKGX460,3,"Comparing to my DSLRs - no comparison.Comparing to my Casio Exlime, same IQ, but better video.Pro:- Extremely cute, well build, look&feel;, better than all others I've tried, Nikon Coolpix, Casio Exlime, Sony.- Great usability for a pocket P'nS cam - very responsible shutter, ultra fast FA, IS seems to be effective.- Good video quality with AF.- Intuitive user interface. No need for manual really.Con:- Lousy picture quality. Very lousy indeed. This point alone defeats all the pros it has for my purpose. I just need something to be constantly in my pocket in case my DSLR is not available or connenient. I remember the older Digital Elph to be bigger and more expensive but with much better IQ indoor or outside. This new Elph is a lot cheaper but the IQ is just like any other cheap cam from any other brand - a huge disappointment for my purpose. Like another reviewer said - 12MB pixel is just a marketing hoax that makes the file unnecessarily big. The IQ really isn't much better than my Canon video cam shooting still at 3MB. Ok, maybe a little better :) But not by much.Bottom line - A great pocket cam with very disappointing IQ. For my purpose, it's useless, which really is unfortunate. Because otherwise I really love this little cam.","March 14, 2010",
cameras,Cannon Powershot SD780IS,"E. T. Martin ""ebbmart""",R3J1GOD62WKR02,3,"Great camera for what it is... small, inexpensive and stylish. I carry it when going out at night with friends, and anytime I even think I might want a picture... It is so small that I forget it is there! Night shots, image stability are not the best, but Im still learning how to use it to get the best pics in those conditions.For the $200 it is a really small, fast, well built camera. I was particularly excited about the rounded corners... after having a SD1200 (ex took it), my thigh was bruised from the sharp corners.","October 24, 2009",
cameras,Compact but cheap,eric duncan,R2J9P0A4TEYX4P,3,"Yes this camera is very small and it fits in your pocket no problem. This enables you to get shots you might not have otherwise because you actually have a camera with you. That is the best feature.The price you pay? Cheap construction- my lens randomly stopped retracting/working 3 months in. Canon is repairing for free for the record. Picture quality is a bit worse than other point and shoots (like my friend's panasonic lumix) on ""auto"" which is where most people shoot these types of cameras anyway. Overall yes its small but its also kind of a little POS.","August 23, 2010",
cameras,Not for pockets - unusable after less than a year,Gregory Bloom,R3B83E83PK8GQE,3,"I have owned the SD780IS for almost a year, and have taken several thousand pictures with it. Overall, this is a great camera, but....Being a point-n-shoot, I always carry it around in my jeans pocket. Unfortunately, dust has gradually crept into the optics. At first it was barely noticeable - in fact it was only after it became unmistakable that I reviewed earlier photos and saw dust blobs there too. For un-zoomed pictures, this dust results in a slight haze. But for zoomed-in pictures, there are mysterious dark blobs all over the photo. I spoke with the local camera repair shop about getting the optics cleaned, and they explained that the optics assembly is a single part and that Canon will not supply them with the necessary calibration software. The only option was a one-size-fixes-all price of $119, plus shipping both ways. Since I can get a whole new SD780IS for $145 with free shipping, having the camera repaired at that price makes no sense at all. Plus, it would still be prone to dust gunking up the internal optics.So instead of repairing or replacing it with a new SD780IS, I'm going with a waterproof point-n-shoot (Panasonic Lumix DMC-TS2). Much more expensive, but hopefully I'll have a camera that lasts longer than 12 months.","August 12, 2010",
cameras,a bit disapointed with image quality,D. Miranda,R37T2A4WTNME9G,3,"This camera is easy to use and very compact, but I was a bit disappointed with image quality. Image was grainy (noisy) and slightly out of focus at the edges even in broad daylight. Low light performance is even worse.The big plus is it's HD movie mode, with good quality image and sound. Image is still a biy grainy (noisy).","March 21, 2010",
cameras,Noisy in low light; controls could be bigger,Douglas Richardson,R20IT7ZSUCKEPY,3,The video is pretty noisy in normal indoor lighting. Outside in daylight it looks great. Photos don't suffer from noise as much as video since you can use a flash.The controls on the back are small and not raised enough for me to operate accurately without using my fingernails.The model I got has a dead pixel in the sensor. This shows up as a very small white speck on photos (which is really not noticeable) but on videos it becomes a very noticeable red dot. I'm sure Canon will fix it but it's a pain to send to them and I have to pay shipping.,"December 29, 2009",
cameras,Disappointing Image Quality,"Nightowl ""Carina""",R2DJT6WEWTBD81,3,"Based on all the great customer reviews, I was excited when this camera arrived. It is extremely small but has a nice overall feel of quality and looks pretty cool. One gripe I have with the built is that the camera/memory card door is a bit flimsy and seems to be made of cheap plastic in stark contrast to the rest of the body. It wobbles slightly which may be minor for some, but it was enough to bother me.I have small hands but this camera seems almost a bit too small at the expense of usability. The position of the flash is annoying and if you don't remember to keep your fingers well out of its range you'll cast dark shadows onto the picture. Some buttons are so tiny that you need to use your finger nail to push them.But what ultimately made me return this camera is the soft focus, even in bright sunlight. Since the zoom is very modest I thought that the large number of megapixels would allow me to crop liberally. Unfortunately, this is not possible due to the soft focus and frequent purple fringing. I prefer sharp crisp images but was not able to find a setting which would please me.The video is great if you don't point at a light source, but that feature alone was not enough to make up for the disappointing image quality.","August 26, 2009",
cameras,Too SMall,BTShopper,R2MWJIZ3ABHLED,3,"This camera was too small for my husband to use. The view finder was too small and his fingers were too large to work the controls on the back. I returned the camera. I've heard it takes great pictures, we just need a larger one.","March 29, 2010",
cameras,"Decent, but a bit disappointed",Target Luver,R32VUYBSW6R350,3,"Couple bummers for me: couldn't connect to download pictures to computer w/ USB -- I even downloaded the software and it still didn't work. I got a card reader, so I'm able to now, but that was a tad annoying to work around. Also the viewfinder picture is a bit yellow and grainy -- but the photo ends up coming out fine. The ""shutter lag"" is also a little frustrating, esp. when asking strangers to take you and your friends' pictures! I guess you can press button 1/2-way down and that preps it to take the pic quickly after that, but that's obviously too much to explain to anyone who you're asking to take a picture. Anyway, I've always loved Canon, so I'm sticking with it.","December 5, 2009",
cameras,Not even close to the old SD500,"Michael Rosas ""mrosas""",RD7MVSKBOXKF5,3,"I bought this camera for my wife to document our new born baby.The main thing I noticed was that the picture quality was not up to par with my old SD500 camera. Really dissapointed.On a positive note, the video quality is really good and in HD.Cool size, but I actually thought the bigger. It's almost too small, I would have bought a bigger camera if I new the correct size.","March 12, 2010",
cameras,Movie Feature,grummix,R1IXRS7YRXZ2EM,3,"Bought this camera mainly cause I thought with its OIS it would be more stable than my Vado hand-held.Turns out the Canon video shows plenty of noise, which makes me want to put it aside.Worse, for a PC Windows user, I have yet find a satisfactory way to edit this Quicktime movie format. Even bought Apple's Quicktime Pro, but this software is a bear of an application when it comes to make a movie out of several clips.Any ideas are welcome.Update: Used the ZoomBrowser software Canon provides with this camera to stich several video clips together into a large movie.Was astonished to realize the software transformed the Quicktime mov file into an ""avi"" file, one that can now be played with the Windows Media Player-very good video results too, a big surprise.Amazing Grace, Canon why are you not recording the videos in the ""avi"" format in the first place.Perhaps this newly converted file can now be edited with an ordinary Windows based editing software?","April 19, 2009",
cameras,"love the size, hate the quality",crystal,R21V3E0L3XIRE3,3,I got this camera because of the size. I love it because it's tiny. I figured that I will use it more because it easily fits in my pocket or purse... and it did. It fit everywhere/anywhere. The only problem is the quality of the picture. Moving subjects came out blurry and etc. I still use it but it's not my favortie. Dont take my word for it. I'm comparing this to my DSLR.,"July 6, 2010",
cameras,bad red eye,Srihari,R3S4RA6E1S28PD,3,It has big red-eye problem even with Red-eye Reduction setting. My experience is bad with this camera,"February 14, 2010",
cameras,No sound recorder!,Asher,R1YQ8N195ZI2NH,3,"The camera is designed very well. It feels very durable, and is small, with a quick start up speed. The photos and HD video look great so far. Here's my only problem. Canon has removed one of the nicest features of its previous SD cameras: the sound recorder. With the lens retracted, you used to be able to record up to an hour of high quality audio. I'm very disappointed that they've removed this feature! Canon has also removed the fun ""stop action video mode"". Perhaps they thought they were removing clutter from the menus, but they also removed some great features!","April 16, 2009",
