category,Price,Features,Name,ImgURL,ProductID
cameras,Unavailable,"8.0-megapixel CMOS sensor captures enough detail for photo-quality 16 x 22-inch prints
Includes Canon's EF-S 18-55mm, f3.5-5.6 zoom lens
DIGIC II Image Processor provides fast, accurate image processing; captures images at a rate of up to 3 frames per second
Fast start-up time--.2 seconds
Powered by rechargeable Lithium-ion battery (included, with charger)
Powered by rechargeable Lithium-ion battery (included, with charger)
Fast start-up time is 2 seconds
Includes Canon's EF-S 18-55mm, f3.5-5.6 zoom lens
8.0-megapixel CMOS sensor captures enough detail for photo-quality 16 x 22-inch prints
DIGIC II Image Processor provides fast, accurate image processing; captures images at a rate of up to 3 frames per second",Canon Digital Rebel XT 8MP Digital SLR Camera with EF-S 18-55mm f3.5-5.6 Lens (Silver),http://ecx.images-amazon.com/images/I/51G31QKNJFL._SY300_.jpg,B0007QKMQY
cameras,Unavailable,"8.0-megapixel CMOS sensor captures enough detail for photo-quality 16 x 22-inch prints
Captures images at a rate of up to 3 frames per second
DIGIC II Image Processor provides fast, accurate image processing
Fast start-up time--.2 seconds
Powered by rechargeable Lithium-ion battery (included, with charger)",Canon Digital Rebel XT 8MP Digital SLR Camera (Body Only - Silver),http://ecx.images-amazon.com/images/I/51P7tsZVh9L._SY300_.jpg,B0007QKMR8
cameras,Unavailable,"8.0-megapixel CMOS sensor captures enough detail for photo-quality 16 x 22-inch prints
Captures images at a rate of up to 3 frames per second
DIGIC II Image Processor provides fast, accurate image processing
Fast start-up time--.2 seconds
Powered by rechargeable Lithium-ion battery (included, with charger)",Canon Digital Rebel XT 8MP Digital SLR Camera (Body Only - Black),http://ecx.images-amazon.com/images/I/51GFPZANZNL._SY300_.jpg,B0007QKMSC
cameras,Unavailable,"8.0-megapixel CMOS sensor captures enough detail for photo-quality 16 x 22-inch prints
Includes Canon's EF-S 18-55mm, f3.5-5.6 zoom lens
DIGIC II Image Processor provides fast, accurate image processing; captures images at a rate of up to 3 frames per second
Fast start-up time--.2 seconds
Powered by rechargeable Lithium-ion battery (included, with charger)",Canon Digital Rebel XT 8MP Digital SLR Camera with EF-S 18-55mm f3.5-5.6 Lens (Black),http://ecx.images-amazon.com/images/I/512YXSJWB5L._SY300_.jpg,B0007QKN22
cameras,Unavailable,"5.0-megapixel CCD captures enough detail for photo-quality 13 x 17-inch prints
12x optical zoom; 1.8-inch vari-angle LCD display
Records VGA film at 30 frames per second with stereo sound; includes wind filter and adjustable levels for sound
MovieSnap feature allows you to capture a 5.0 MP still image while recording a movie; also features digital zoom and manual focus options for movies
Powered by four AA-size batteries; stores images on SD memory cards",Canon Powershot S2 IS 5MP Digital Camera with 12x Optical Image Stabilized Zoom,http://ecx.images-amazon.com/images/I/51GXXBZFT8L._SY300_.jpg,B0009GZSSO
cameras,Unavailable,"Powered by 4 AA-size batteries (alkaline batteries supplied) , stores images on SD memory cards (16 MB card included)
DIGIC II, iSAPS, and Flexizone AF/AE for fast, precise results , 2.3-frame-per-second continuous shooting performance
12x optical zoom lens with USM and UD lens element , 2.0-inch vari-angle LCD display
6.0-megapixel CCD captures enough detail for photo-quality 14 x 19-inch prints
20 shooting modes and My Colors photo effects
6.0-megapixel CCD captures enough detail for photo-quality 14 x 19-inch prints
12x optical zoom lens with USM and UD lens element; 2.0-inch vari-angle LCD display
20 shooting modes and My Colors photo effects
DIGIC II, iSAPS, and Flexizone AF/AE for fast, precise results; 2.3-frame-per-second continuous shooting performance
Powered by 4 AA-size batteries (alkaline batteries supplied); stores images on SD memory cards (16 MB card included)",Canon PowerShot Pro Series S3 IS 6MP with 12x Image Stabilized Zoom,http://ecx.images-amazon.com/images/I/41awLJE6gfL._SX300_.jpg,B000EMWBV0
cameras,Unavailable,"10.1-megapixel CMOS sensor captures enough detail for photo-quality 18 x 24-inch prints
Large 2.5-inch LCD display; includes Canon's EF-S 18-55mm, f3.5-5.6 zoom lens
New self-cleaning dust function, plus Dust Delete Data Detection in included software
DIGIC II Image Processor provides fast, accurate image processing; Picture Style settings for added creative control
Stores images on Compact Flash (CF) memory cards; powered by battery pack NB-2LH
Stores images on Compact Flash (CF) memory cards , powered by battery pack NB-2LH
DIGIC II Image Processor provides fast, accurate image processing; Picture Style settings for added creative control
Large 2.5-inch LCD display , includes Canon's EF-S 18-55mm, f3.5-5.6 zoom lens
10.1-megapixel CMOS sensor captures enough detail for photo-quality 18 x 24-inch prints
New self-cleaning dust function, plus Dust Delete Data Detection in included software",Canon Digital Rebel XTi 10.1MP Digital SLR Camera with EF-S 18-55mm f/3.5-5.6 Lens (Black),http://ecx.images-amazon.com/images/I/41RMGH3XG3L._SX300_.jpg,B000I1ZWRC
cameras,Unavailable,"10.1-megapixel CCD captures enough detail for photo-quality 18 x 24-inch prints
Large 2.5-inch LCD display; includes Canon's EF-S 18-55mm, f3.5-5.6 zoom lens
New self-cleaning dust function, plus Dust Delete Data Detection in included software
DIGIC II Image Processor provides fast, accurate image processing; Picture Style settings for added creative control
Stores images on Compact Flash (CF) memory cards; powered by battery pack NB-2LH",Canon Digital Rebel XTi 10.1MP Digital SLR Camera with EF-S 18-55mm f/3.5-5.6 Lens (Silver),http://ecx.images-amazon.com/images/I/41XNHCJQDAL._SX300_.jpg,B000I3XQNC
cameras,Unavailable,"10.1-megapixel CCD captures enough detail for photo-quality 18 x 24-inch prints
Large 2.5-inch LCD display; body only (no lens included)
New self-cleaning dust function, plus Dust Delete Data Detection in included software
DIGIC II Image Processor provides fast, accurate image processing; Picture Style settings for added creative control
Stores images on Compact Flash (CF) memory cards; powered by battery pack NB-2LH",Canon Digital Rebel XTi 10.1MP Digital SLR Camera (Silver Body Only),http://ecx.images-amazon.com/images/I/41JTgg7XV1L._SY300_.jpg,B000I3ZCWU
cameras,$499.95,"6.1-megapixel CCD captures enough detail for photo-quality 14 x 19-inch prints
Kit includes 3x 18-55mm f3.5-5.6G ED II AF-S DX Zoom-Nikkor lens
2.5-inch LCD with three display options; built-in flash and hot shoe
Fast startup with instant shutter response; shoot at up to 2.5 frames per second
Powered by one rechargeable Li-ion battery EN-EL9 (included); stores images on SD memory cards (memory card not included)",Nikon D40 6.1MP Digital SLR Camera Kit with 18-55mm f/3.5-5.6G ED II AF-S DX Zoom-Nikkor Lens,http://ecx.images-amazon.com/images/I/5161FDA5N3L._SX300_.jpg,B000KJQ1DG
cameras,$388.88,"7.1-megapixel CCD captures enough detail for photo-quality 15 x 20-inch prints
DIGIC III Image Processor; Face Detection Technology and Red-eye Correction
Vivid, high-resolution 2.5-inch PureColor LCD
17 Shooting modes, including 8 Special Scene modes
ISO 1600 and High ISO Auto settings
ISO 1600 and High ISO Auto settings
17 Shooting modes, including 8 Special Scene modes
DIGIC III Image Processor , Face Detection Technology and Red-eye Correction
7.1-megapixel CCD captures enough detail for photo-quality 15 x 20-inch prints
Vivid, high-resolution 2.5-inch PureColor LCD",Canon PowerShot SD1000 7.1MP Digital Elph Camera with 3x Optical Zoom (Silver),http://ecx.images-amazon.com/images/I/41u7BeZvDpL._SX300_.jpg,B000NK8EWI
cameras,Unavailable,"7.1-megapixel CCD captures enough detail for photo-quality 15 x 20-inch prints
3x optical zoom; ISO 1600 and High ISO Auto
DIGIC III Image Processor; Face Detection AF/AE
Selectable shooting modes and special scene modes
Print/Share button makes direct printing simple",Canon PowerShot SD1000 7.1MP Digital Elph Camera with 3x Optical Zoom (Black),http://ecx.images-amazon.com/images/I/41IWqu149rL._SX300_.jpg,B000NK8L6W
cameras,Unavailable,"9-megapixel resolution captures enough detail for poster-sized prints
10x optical zoom Leica DC lens; Face Detection
New Panasonic Venus Engine IV improves noise reduction, elevates the detection accuracy and corrective effects
3.0-inch LCD; Mega O.I.S. and Intelligent ISO
Captures images to SD memory cards (not included)",Panasonic Lumix DMC-TZ5S 9MP Digital Camera with 10x Wide Angle MEGA Optical Image Stabilized Zoom (Silver),http://ecx.images-amazon.com/images/I/412jwlEX6wL._SX300_.jpg,B0011Z44UA
cameras,Unavailable,"9-megapixel resolution captures enough detail for poster-sized prints
10x optical zoom Leica DC lens; Face Detection
New Panasonic Venus Engine IV improves noise reduction, elevates the detection accuracy and corrective effects
3.0-inch LCD; Mega O.I.S. and Intelligent ISO
Captures images to SD memory cards (not included)",Panasonic Lumix DMC-TZ5K 9MP Digital Camera with 10x Wide Angle MEGA Optical Image Stabilized Zoom (Black),http://ecx.images-amazon.com/images/I/41HBJtL5sZL._SX300_.jpg,B0011Z8CCG
cameras,$399.99,"8.0-megapixel CCD captures enough detail for photo-quality 16x 22-inch prints
4x optical image-stabilized zoom
2.5-inch LCD screen; Face Detection
New Easy Mode simplifies operation
Captures images to SD memory cards (not included); powered by AA batteries
Captures images to SD memory cards (not included) , powered by AA batteries
New Easy Mode simplifies operation
4x optical image-stabilized zoom
8.0-megapixel CCD captures enough detail for photo-quality 16x 22-inch prints
2.5-inch LCD screen and Face Detection",Canon PowerShot A590IS 8MP Digital Camera with 4x Optical Image Stabilized Zoom,http://ecx.images-amazon.com/images/I/518qVmlYBbL._SX300_.jpg,B0011ZCDKS
cameras,Unavailable,"8.0-megapixel CCD captures enough detail for photo-quality 16x 22-inch prints
3x optical image-stabilized zoom
2.5-inch PureColor LCD II monitor
Face Detection; Motion Detection Technology automatically reduces blur
Captures images to SD memory cards (not included)",Canon PowerShot SD1100IS 8MP Digital Camera with 3x Optical Image Stabilized Zoom (Blue),http://ecx.images-amazon.com/images/I/41Je5B0XHZL._SX300_.jpg,B0011ZK6PC
cameras,Unavailable,"8.0-megapixel CCD captures enough detail for photo-quality 16x 22-inch prints
3x optical image-stabilized zoom
2.5-inch PureColor LCD II monitor
Face Detection; Motion Detection Technology automatically reduces blur
Captures images to SD memory cards (not included)",Canon PowerShot SD1100IS 8MP Digital Camera with 3x Optical Image Stabilized Zoom (Pink),http://ecx.images-amazon.com/images/I/51w7F2HqAUL._SY300_.jpg,B0012Y6958
cameras,Unavailable,"8.0-megapixel CCD captures enough detail for photo-quality 16x 22-inch prints
3x optical image-stabilized zoom
2.5-inch PureColor LCD II monitor
Face Detection; Motion Detection Technology automatically reduces blur
Captures images to SD memory cards (not included)",Canon PowerShot SD1100IS 8MP Digital Camera with 3x Optical Image Stabilized Zoom (Brown),http://ecx.images-amazon.com/images/I/41KrKZIJtDL._SX300_.jpg,B0012Y6AY8
cameras,Unavailable,"12.2-megapixel CMOS sensor captures enough detail for poster-size, photo-quality prints
Large 3.0-inch LCD display; includes Canon's EF-S 18-55mm, f3.5-5.6 IS zoom lens
DIGIC III image processor provides fast, accurate image processing; improved Autofocus and framing rate
EOS Integrated Cleaning system, plus Dust Delete Data Detection in included software
Stores images on SD/SDHC memory cards (not included)",Canon Digital Rebel XSI 12.2 MP Digital SLR Camera with EF-S 18-55mm f/3.5-5.6 IS Lens (Silver),http://ecx.images-amazon.com/images/I/51%2BQuA5n7ZL._SX300_.jpg,B0012Y6HC8
cameras,Unavailable,"8.0-megapixel CCD captures enough detail for photo-quality 16x 22-inch prints
3x optical image-stabilized zoom
2.5-inch PureColor LCD II monitor
Face Detection; Motion Detection Technology automatically reduces blur
Captures images to SD memory cards (not included)",Canon PowerShot SD1100IS 8MP Digital Camera with 3x Optical Image Stabilized Zoom (Gold),http://ecx.images-amazon.com/images/I/41wvkPSGf6L._SX300_.jpg,B0012Y84AG
cameras,Unavailable,"12.2-megapixel CMOS sensor captures enough detail for poster-size, photo-quality prints
Large 3.0-inch LCD display; Enhanced Live View function
DIGIC III image processor provides fast, accurate image processing; improved Autofocus and framing rate
EOS Integrated Cleaning system, plus Dust Delete Data Detection in included software
Stores images on SD/SDHC memory cards (not included)
Stores images on SD/SDHC memory cards (not included)
EOS Integrated Cleaning system, plus Dust Delete Data Detection in included software
Large 3.0-inch LCD display and  Enhanced Live View function
12.2-megapixel CMOS sensor captures enough detail for poster-size, photo-quality prints
DIGIC III image processor provides fast, accurate image processing; improved Autofocus and framing rate",Canon Digital Rebel XSi 12.2 MP Digital SLR Camera (Black Body Only),http://ecx.images-amazon.com/images/I/41cPq1ET2uL._SX300_.jpg,B0012Y88QQ
cameras,Unavailable,"12.2-megapixel CMOS sensor captures enough detail for poster-size, photo-quality prints
Large 3.0-inch LCD display; Enhanced Live View function
DIGIC III image processor provides fast, accurate image processing; improved Autofocus and framing rate
EOS Integrated Cleaning system, plus Dust Delete Data Detection in included software
Stores images on SD/SDHC memory cards (not included)",Canon Digital Rebel XSI 12MP Digital SLR Camera (Silver Body Only),http://ecx.images-amazon.com/images/I/51ib%2BOaqw2L._SY300_.jpg,B0012Y89JW
cameras,Unavailable,"12.2-megapixel CMOS sensor captures enough detail for poster-size, photo-quality prints
Large 3.0-inch LCD display; includes Canon's EF-S 18-55mm, f3.5-5.6 IS zoom lens
DIGIC III image processor provides fast, accurate image processing; improved Autofocus and framing rate
EOS Integrated Cleaning system, plus Dust Delete Data Detection in included software
Stores images on SD/SDHC memory cards (not included)",Canon Digital Rebel XSi 12.2 MP Digital SLR Camera with EF-S 18-55mm f/3.5-5.6 IS Lens - Black,http://ecx.images-amazon.com/images/I/51yldYuDPmL._SY300_.jpg,B0012YA85A
cameras,Unavailable,"8.0-megapixel CCD captures enough detail for photo-quality 16x 22-inch prints
3x optical image-stabilized zoom
2.5-inch PureColor LCD II monitor
Face Detection; Motion Detection Technology automatically reduces blur
Captures images to SD memory cards (not included)",Canon PowerShot SD1100IS 8MP Digital Camera with 3x Optical Image Stabilized Zoom (Silver),http://ecx.images-amazon.com/images/I/41J00E0Am1L._SX300_.jpg,B0012YC7AE
cameras,"$1,199.00","12.3-megapixel DX-format CMOS imaging sensor
5.8x AF-S DX Nikkor 18-105mm f/3.5-5.6G ED VR lens included
D-Movie Mode; Cinematic 24fps HD with sound
3-inch super-density 920,000-dot color LCD monitor
Capture images to SD/SDHC memory cards (not included)",Nikon D90 12.3MP DX-Format CMOS Digital SLR Camera with 18-105 mm f/3.5-5.6G ED AF-S VR DX Nikkor Zoom Lens,http://ecx.images-amazon.com/images/I/51whvQ9lrsL._SX300_.jpg,B001ENOZY4
cameras,$899.00,"12.3-megapixel DX-format CMOS imaging sensor
Body only; lenses sold separately
D-Movie Mode; Cinematic 24fps HD with sound
3-inch super-density 920,000-dot color LCD monitor
Capture images to SD/SDHC memory cards (not included)",Nikon D90 12.3MP DX-Format CMOS Digital SLR Camera with 3.0-Inch LCD (Body Only),http://ecx.images-amazon.com/images/I/51TsXMq9feL._SX300_.jpg,B001ET5U92
cameras,$465.49,"10.1-megapixel resolution captures enough detail for poster-size prints
12x MEGA optical image-stablilized zoom; 25mm ultra-wide-angle lens
Capture HD video in ""AVCHD Lite"" format
Intelligent Auto (iA) mode; Face Recognition feature
Capture images to SD/SDHC memory cards (not included)
Intelligent Auto (iA) mode , Face Recognition feature
12x MEGA optical image-stablilized zoom , 25mm ultra-wide-angle lens
10.1-megapixel resolution captures enough detail for poster-size prints
Capture HD video in AVCHD Lite format",Panasonic Lumix DMC-ZS3 10.1 MP Digital Camera with 12x Wide Angle MEGA Optical Image Stabilized Zoom and 3 inch LCD (Black),http://ecx.images-amazon.com/images/I/41I9GU-IagL._SX300_.jpg,B001QFZMCO
cameras,$599.99,"12.1-megapixel CCD captures enough detail for photo-quality poster-size prints
Waterproof to 33 feet, cold resistant from 14-104 degrees (F) and shockproof up to 4 feet
DIGIC 4 Image Processor; evolved Face Detection Technology plus Face Detection Self-timer
Smart AUTO intelligently selects the proper settings
Compatible with SD/SDHC, MMC/MMC Plus/HC MMC Plus (not included)",Canon PowerShot D10 12.1 MP Waterproof Digital Camera with 3x Optical Image Stabilized Zoom and 2.5-Inch LCD,http://ecx.images-amazon.com/images/I/41YlZjywPRL._SX300_.jpg,B001SER460
cameras,Unavailable,"12.1-megapixel CCD captures enough detail for photo-quality poster-size prints
3x optical zoom lens with Optical Image Stabilizer
HD movie shooting capability plus HDMI output
2.5-inch widescreen PureColor LCD II screen; Face Detection
Compatible with SD/SDHC, MMC/MMC Plus/HC MMC Plus (not included)
Compatible with SD/SDHC, MMC/MMC Plus/HC MMC Plus (not included)
2.5-inch widescreen PureColor LCD II screen; Face Detection
3x optical zoom lens with Optical Image Stabilizer
12.1-megapixel CCD captures enough detail for photo-quality poster-size prints
HD movie shooting capability plus HDMI output",Canon PowerShot SD780IS 12.1 MP Digital Camera with 3x Optical Image Stabilized Zoom and 2.5-inch LCD (Silver),http://ecx.images-amazon.com/images/I/41hW7WMxPJL._SX300_.jpg,B001SER47O
